Physical Inactivity; Total (Total); Adults Aged 20+ Years; Age-Adjusted Percentage; U.S. Counties; 2016
Data downloaded on 17-November-2019
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Autauga County,Alabama,01001,34,28.2,40.1
Baldwin County,Alabama,01003,25.4,22.6,28.1
Barbour County,Alabama,01005,22.4,17.4,28.5
Bibb County,Alabama,01007,32.9,25.6,41.1
Blount County,Alabama,01009,28.9,23.7,33.9
Bullock County,Alabama,01011,23.7,14.3,38.9
Butler County,Alabama,01013,38.7,30.8,46.3
Calhoun County,Alabama,01015,30.6,27.2,34.2
Chambers County,Alabama,01017,28.7,21.7,36.6
Cherokee County,Alabama,01019,29.1,22.9,36.9
Chilton County,Alabama,01021,32.1,25.4,39.3
Choctaw County,Alabama,01023,34.5,27.9,41.3
Clarke County,Alabama,01025,33.6,27.1,40.5
Clay County,Alabama,01027,31.2,23.1,39.8
Cleburne County,Alabama,01029,29.8,21.9,38.4
Coffee County,Alabama,01031,29.9,24.9,35.2
Colbert County,Alabama,01033,35.1,29.8,40.4
Conecuh County,Alabama,01035,39,29.5,49.2
Coosa County,Alabama,01037,33.7,24.3,44.2
Covington County,Alabama,01039,33.8,28,39.4
Crenshaw County,Alabama,01041,32.1,23.8,40.6
Cullman County,Alabama,01043,35.1,29.9,40.8
Dale County,Alabama,01045,31.1,26.2,36.3
Dallas County,Alabama,01047,25.4,21.7,29.1
Dekalb County,Alabama,01049,30.5,26.2,34.9
Elmore County,Alabama,01051,25.8,20.7,31.4
Escambia County,Alabama,01053,31.1,25.3,37.7
Etowah County,Alabama,01055,32.5,28.7,36.6
Fayette County,Alabama,01057,31.8,25,39.8
Franklin County,Alabama,01059,36.8,30.1,43.3
Geneva County,Alabama,01061,35.3,28.7,42.3
Greene County,Alabama,01063,16.5,10.6,24.5
Hale County,Alabama,01065,26.4,20.9,32.6
Henry County,Alabama,01067,34.2,25.4,43.4
Houston County,Alabama,01069,29.5,25.9,33.3
Jackson County,Alabama,01071,27.7,21.6,34.1
Jefferson County,Alabama,01073,29.5,27.3,31.5
Lamar County,Alabama,01075,34.6,27,42.4
Lauderdale County,Alabama,01077,27.1,22.9,31.2
Lawrence County,Alabama,01079,35,26.7,44.1
Lee County,Alabama,01081,21.6,17.8,25.4
Limestone County,Alabama,01083,28.4,22.9,34.2
Lowndes County,Alabama,01085,32.6,23.8,41.6
Macon County,Alabama,01087,31.5,22.2,42.5
Madison County,Alabama,01089,21.4,18.8,24.3
Marengo County,Alabama,01091,30.7,25.6,36.8
Marion County,Alabama,01093,29.6,23.8,35.6
Marshall County,Alabama,01095,35,29.3,40.8
Mobile County,Alabama,01097,29.6,27.3,32
Monroe County,Alabama,01099,32.9,26.2,39.9
Montgomery County,Alabama,01101,28.3,25,31.9
Morgan County,Alabama,01103,25.6,21,30.4
Perry County,Alabama,01105,33.5,26.5,41
Pickens County,Alabama,01107,24.5,18.3,32
Pike County,Alabama,01109,27.7,22,34.2
Randolph County,Alabama,01111,32.2,24.4,40.6
Russell County,Alabama,01113,30.9,23.8,39.4
Shelby County,Alabama,01117,24.3,21,27.7
St. Clair County,Alabama,01115,29.6,25,34.7
Sumter County,Alabama,01119,37.2,29.5,44.8
Talladega County,Alabama,01121,33.4,29.3,37.7
Tallapoosa County,Alabama,01123,28.3,23.4,33.4
Tuscaloosa County,Alabama,01125,30.1,27.2,32.8
Walker County,Alabama,01127,33.8,29.5,38
Washington County,Alabama,01129,33,25,40.8
Wilcox County,Alabama,01131,36.6,28.3,45.1
Winston County,Alabama,01133,30.5,23.7,37.6
Aleutians East Borough,Alaska,02013,29.9,20.5,40.8
Aleutians West Census Area,Alaska,02016,30.3,22.8,38.2
Anchorage Municipality,Alaska,02020,17.8,16,19.7
Bethel Census Area,Alaska,02050,31.3,26.2,36.7
Bristol Bay Borough,Alaska,02060,28.1,21.1,35.7
Denali Borough,Alaska,02068,18.2,13.1,24.3
Dillingham Census Area,Alaska,02070,23.9,18.6,30.1
Fairbanks North Star Borough,Alaska,02090,18.7,16.7,20.8
Haines Borough,Alaska,02100,19.3,13.5,26.5
Hoonah-Angoon Census Area,Alaska,02105,17.2,10.9,25.9
Juneau City and Borough,Alaska,02110,15.9,13.1,18.9
Kenai Peninsula Borough,Alaska,02122,21.5,18.9,24.2
Ketchikan Gateway Borough,Alaska,02130,18.6,14.5,23.3
Kodiak Island Borough,Alaska,02150,24.6,18.8,30.7
Kusilvak Census Area,Alaska,02158,28.5,21.1,36.2
Lake and Peninsula Borough,Alaska,02164,22,15.8,29.6
Matanuska-Susitna Borough,Alaska,02170,21.8,19.6,24.2
Nome Census Area,Alaska,02180,25.2,19.5,30.8
North Slope Borough,Alaska,02185,35.3,28.8,42.2
Northwest Arctic Borough,Alaska,02188,27,20.2,34.9
Petersburg Census Area,Alaska,02195,17.6,11.9,23.9
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Prince of Wales-Hyder Censu,Alaska,02198,21.7,14.8,30.4
Sitka City and Borough,Alaska,02220,17.2,12.7,21.9
Skagway Municipality,Alaska,02230,19.1,11.4,28.2
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Southeast Fairbanks Census Area,Alaska,02240,18.1,14.7,21.7
Valdez-Cordova Census Area,Alaska,02261,18.7,14,23.8
Wade Hampton Census Area,Alaska,02270,No Data,No Data,No Data
Wrangell City and Borough,Alaska,02275,28.2,18.7,39.7
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Yakutat City and Borough,Alaska,02282,21.8,11.6,37.7
Yukon-Koyukuk Census Area,Alaska,02290,23.4,18.8,28.4
Apache County,Arizona,04001,26.5,23.5,29.4
Cochise County,Arizona,04003,23.4,20.5,26.3
Coconino County,Arizona,04005,17.1,14.9,19.5
Gila County,Arizona,04007,24.9,22,28.1
Graham County,Arizona,04009,23.1,18.3,28.3
Greenlee County,Arizona,04011,22.1,14.5,30.6
La Paz County,Arizona,04012,38.7,28.8,48.8
Maricopa County,Arizona,04013,20,19.2,20.7
Mohave County,Arizona,04015,29.6,26.5,32.6
Navajo County,Arizona,04017,27.9,24.9,31.1
Pima County,Arizona,04019,19.1,17.9,20.5
Pinal County,Arizona,04021,27.9,25.7,30.4
Santa Cruz County,Arizona,04023,19.4,14,25.8
Yavapai County,Arizona,04025,20.6,18,23.3
Yuma County,Arizona,04027,25.5,21.6,29.8
Arkansas County,Arkansas,05001,36.7,28.6,44.9
Ashley County,Arkansas,05003,46,38.5,53.6
Baxter County,Arkansas,05005,27.2,22.4,32.6
Benton County,Arkansas,05007,23.5,20.8,26.3
Boone County,Arkansas,05009,28.6,23.4,34.1
Bradley County,Arkansas,05011,39.6,28,51.7
Calhoun County,Arkansas,05013,35.2,24.7,45.8
Carroll County,Arkansas,05015,31.3,24.3,38.3
Chicot County,Arkansas,05017,35.4,24.4,46.5
Clark County,Arkansas,05019,38.1,29.3,46.6
Clay County,Arkansas,05021,29.9,22.2,38.2
Cleburne County,Arkansas,05023,31.9,23.8,40.1
Cleveland County,Arkansas,05025,31.2,22.6,40.7
Columbia County,Arkansas,05027,33.3,25.4,43.2
Conway County,Arkansas,05029,36.4,29.3,44
Craighead County,Arkansas,05031,33.7,28.7,38.8
Crawford County,Arkansas,05033,29.8,24.3,35.7
Crittenden County,Arkansas,05035,37.1,31.5,43.1
Cross County,Arkansas,05037,35.2,27.3,44.5
Dallas County,Arkansas,05039,43.2,28.9,56.7
